skift,maal,mean,lo,hi,sd,scenario,kilde
Dag_hverdag,ventet_pst,0.2875158568872679,0.21127973600665303,0.3870771472044757,,S4_nhpp_baseline,nhpp
Dag_hverdag,dpri1_makkerpar_pst,83.48969441329935,81.84614384128436,85.00369844369489,,S4_nhpp_baseline,nhpp
Natt_helg,Normal,82.74649345043066,81.97677498847459,83.43934062434322,,S4_nhpp_baseline,nhpp
Natt_helg,Brudd,5.065964806199671,4.6660936135440405,5.495447878896529,,S4_nhpp_baseline,nhpp
Natt_helg,Svikt,12.187541743369685,11.481565985897173,12.78294422434028,,S4_nhpp_baseline,nhpp
Natt_helg,overloep_pst,1.4293638469731602,1.1986418298505448,1.652879533682545,,S4_nhpp_baseline,nhpp
Natt_helg,vl_pst,10.69883396475159,10.120958348292353,11.295957259255378,,S4_nhpp_baseline,nhpp
Natt_helg,ventet_pst,1.4887077786180933,1.2492614436926013,1.736373256605377,,S4_nhpp_baseline,nhpp
Natt_helg,dpri1_makkerpar_pst,82.26628195191283,80.54489443528765,83.63644089992319,,S4_nhpp_baseline,nhpp
Dag_hverdag,Normal,80.93587265427026,80.16769843053898,81.74998026619473,,S4_nhpp_burst,nhpp
Dag_hverdag,Brudd,13.368620284197423,12.761024572305852,14.056598293304786,,S4_nhpp_burst,nhpp
Dag_hverdag,Svikt,5.695507061532323,5.166056510598164,6.166177171848818,,S4_nhpp_burst,nhpp
Dag_hverdag,overloep_pst,1.7242748151092582,1.3981956568683187,2.0218716283658646,,S4_nhpp_burst,nhpp
Dag_hverdag,vl_pst,3.2244045767061853,2.956378990036633,3.5131689064683234,,S4_nhpp_burst,nhpp
Dag_hverdag,ventet_pst,2.4711024848261385,2.139505161311422,2.7997945259488133,,S4_nhpp_burst,nhpp
Dag_hverdag,dpri1_makkerpar_pst,79.72012589362602,78.27653784127502,80.95670307249159,,S4_nhpp_burst,nhpp
Natt_helg,Normal,78.85786494313973,77.31493752689737,79.88383730270938,,S4_nhpp_burst,nhpp
Natt_helg,Brudd,5.573863580283441,5.110076656217202,5.958211851323929,,S4_nhpp_burst,nhpp
Natt_helg,Svikt,15.568271476576825,14.576179871623792,16.84000135179777,,S4_nhpp_burst,nhpp
Natt_helg,overloep_pst,3.91397030877228,3.294627228072621,4.599506798884383,,S4_nhpp_burst,nhpp
Natt_helg,vl_pst,11.127762974899296,10.580310193767236,11.786247289704212,,S4_nhpp_burst,nhpp
Natt_helg,ventet_pst,4.4405085016775265,3.8139938591327684,5.220237729378027,,S4_nhpp_burst,nhpp
Natt_helg,dpri1_makkerpar_pst,78.38124308767155,76.81906916625574,80.44679972781482,,S4_nhpp_burst,nhpp
